MASTER COPY		ODD YEARS (If 2-year Cycle)			EVEN YEARS (If 2-year Cycle)		
DATE	HOLY DAY	MP PSALM	MP LESSON 1	MP LESSON 2	EP PSALM	EP LESSON 1	EP LESSON 2
01-01	Holy Name	1, 2	Gen 1	John 1:1-28	3, 4	Gal 1	Luke 2:8-21
01-02		5, 6	Gen 2	John 1:29-end	7	Jer 1	Gal 2
01-03		9	Gen 3	John 2	10	Jer 2 † 1-22	Gal 3
01-04		8, 11	Gen 4	John 3:1-21	15, 16	Jer 3	Gal 4
01-05		12, 13, 14	Gen 5	John 3:22-end	17	Jer 4	Gal 5
01-06	Epiphany	96, 97	Gen 6	Matt 2:1-12	67, 72	Jer 5	John 2:1-12
01-07		18:1-20	Gen 7	John 4:1-26	18:21-50	Jer 6	Gal 6
01-08		19	Gen 8	John 4:27-end	20, 21	Jer 7 † 1-28,34	1 Thess 1
01-09		22	Gen 9	John 5:1-24	23, 24	Jer 8	1 Thess 2:1-16
01-10		25	Gen 10 † 1-9,15-22,30-32	John 5:25-end	27	Jer 9	1 Thess 2:17—3 end
01-11		26, 28	Gen 11 † 1-9,27-32	John 6:1-21	31	Jer 10	1 Thess 4:1-12
01-12		29, 30	Gen 12	John 6:22-40	33	Jer 11	1 Thess 4:13—5:11
01-13		34	Gen 13	John 6:41-end	35	Jer 12	1 Thess 5:12-end
01-14		32, 36	Gen 14	John 7:1-24	38	Jer 13	2 Thess 1
01-15		37:1-18	Gen 15	John 7:25-52	37:19-42	Jer 14	2 Thess 2
01-16		40	Gen 16	John 7:53—8:30	39, 41	Jer 15	2 Thess 3
01-17		42, 43	Gen 17	John 8:31-end	44	Jer 16	1 Cor 1:1-25
01-18	Confession of Peter	45	Gen 18	Matt 16:13-20	46	Jer 17	1 Cor 1:26—2 end
01-19		47, 48	Gen 19 † 1-29	John 9	49	Jer 18	1 Cor 3
01-20		50	Gen 20	John 10:1-21	51	Jer 19	1 Cor 4:1-17
01-21		52, 53, 54	Gen 21 † 1-21	John 10:22-end	55	Jer 20	1 Cor 4:18—5 end
01-22		56, 57	Gen 22	John 11:1-44	58, 60	Jer 21	1 Cor 6
01-23		59	Gen 23	John 11:45-end	63, 64	Jer 22	1 Cor 7
01-24		61, 62	Gen 24 † 1-28,53-58	John 12:1-19	65, 67	Jer 23 † 1-9,16-18,21-40	1 Cor 8
01-25	Conversion of Paul	68:1-18	Acts 9:1-22	John 12:20-end	68:19-36	Jer 24	1 Cor 9
01-26		69:1-18	Gen 25 † 7-11,19-34	John 13	69:19-38	Jer 25 † 1-19,26-31	1 Cor 10
01-27		66	Gen 26 † 1-25	John 14:1-14	70, 72	Jer 26	1 Cor 11
01-28		71	Gen 27 † 1-13,18-36,39-40	John 14:15-end	73	Jer 27	1 Cor 12
01-29		74	Gen 28	John 15:1-17	77	Jer 28	1 Cor 13
01-30		75, 76	Gen 29 † 1-28	John 15:18-end	79, 82	Jer 29 † 1-14,24-32	1 Cor 14:1-19
01-31		78:1-18	Gen 30 † 1-2,22-43	John 16:1-15	78:19-40	Jer 30	1 Cor 14:20-end
02-01		78:41-73	Gen 31 † 1-3,17-45	John 16:16-end	80	Jer 31 † 1-17,27-37	1 Cor 15:1-34
02-02	Presentation of Jesus in the Temple	24, 81	Gen 32 † 1-13,21-32	Luke 2:22-40	84	Jer 32 † 1-15,36-44	1 Cor 15:35-end
02-03		83	Gen 33	John 17	85	Jer 33	1 Cor 16
02-04	‡ (Earliest possible date for Ash Wednesday)	86, 87	Gen 34	John 18:1-27	88	Jer 34	2 Cor 1:1—2:11
02-05		89:1-18	Gen 35	John 18:28-end	89:19-52	Jer 35	2 Cor 2:12—3 end
02-06		90	Gen 36 † 1-8	John 19:1-37	91	Jer 36 † 1-10,19-32	2 Cor 4
02-07		92, 93	Gen 37 † 3-8,12-36	John 19:38-end	94	Jer 37	2 Cor 5
02-08		95, 96	Gen 38 † 1-26	John 20	97, 98	Jer 38	2 Cor 6
02-09		99, 100, 101	Gen 39	John 21	102	Jer 39	2 Cor 7
02-10		103	Gen 40	Matt 1:1-17	104	Jer 40	2 Cor 8
02-11		105:1-22	Gen 41 † 1-15,25-40	Matt 1:18-end	105:23-45	Jer 41	2 Cor 9
02-12		106:1-18	Gen 42 † 1-28	Matt 2	106:19-48	Jer 42	2 Cor 10
02-13		107:1-22	Gen 43 † 1-10,15-34	Matt 3	107:23-43	Jer 43	2 Cor 11
02-14		108, 110	Gen 44 † 1-20,30-34	Matt 4	109	Jer 44 † 1-19,24-30	2 Cor 12:1-13
02-15		111, 112	Gen 45	Matt 5:1-20	113, 114	Jer 45	2 Cor 12:14—13 end
02-16		115	Gen 46 † 1-7,28-34	Matt 5:21-48	116, 117	Jer 46	Rom 1
02-17		119:1-24	Gen 47 † 1-15,23-31	Matt 6:1-18	119:25-48	Jer 47	Rom 2
02-18		119:49-72	Gen 48	Matt 6:19-end	119:73-88	Jer 48 † 1-20,40-47	Rom 3
02-19		119:89-104	Gen 49	Matt 7	119:105-128	Jer 49 † 1-13,23-39	Rom 4
02-20		119:129-152	Gen 50	Matt 8:1-17	119:153-176	Jer 50 † 1-20,33-40	Rom 5
02-21		118	Exod 1	Matt 8:18-end	120, 121	Jer 51 † 6-10,45-64	Rom 6
02-22		122, 123	Exod 2	Matt 9:1-17	124, 125, 126	Jer 52 † 1-27,31-34	Rom 7
02-23		127, 128	Exod 3	Matt 9:18-34	129, 130, 131	Baruch 4 † 5-13,21-37	Rom 8:1-17
02-24	Matthias	132, 133	Acts 1:15-26	Matt 9:35—10:23	134, 135	Baruch 5	Rom 8:18-end
02-25		136	Exod 4	Matt 10:24-end	137, 138	Lam 1 † 1-12,17-22	Rom 9
02-26		139	Exod 5	Matt 11	141, 142	Lam 2 † 1-18	Rom 10
02-27		140	Exod 6 † 1-13	Matt 12:1-21	143	Lam 3 † 1-9,19-33,52-66	Rom 11
02-28		144	Exod 7	Matt 12:22-end	145	Lam 4	Rom 12
02-29		90	2 Kings 2	Luke 24:44-53	104	Joel 2 † 1-2,12-32	2 Pet 3
03-01		146	Exod 8	Matt 13:1-23	147	Lam 5	Rom 13
03-02		148	Exod 9 † 1-29,33-34	Matt 13:24-43	149, 150	Prov 1	Rom 14
03-03		1, 2	Exod 10	Matt 13:44-end	3, 4	Prov 2	Rom 15
03-04		5, 6	Exod 11	Matt 14	7	Prov 3 † 1-27	Rom 16
03-05		9	Exod 12 † 1-20,28-36	Matt 15:1-28	10	Prov 4	Phil 1:1-11
03-06		8, 11	Exod 13	Matt 15:29—16:12	15, 16	Prov 5	Phil 1:12-end
03-07		12, 13, 14	Exod 14 † 5-31	Matt 16:13-end	17	Prov 6 † 1-11,20-35	Phil 2:1-11
03-08		18:1-20	Exod 15	Matt 17:1-23	18:21-50	Prov 7	Phil 2:12-end
03-09		19	Exod 16 † 1-7,11-33	Matt 17:24—18:14	20, 21	Prov 8	Phil 3
03-10		22	Exod 17	Matt 18:15-end	23, 24	Prov 9	Phil 4
03-11		25	Exod 18	Matt 19:1-15	27	Prov 10	Col 1:1-20
03-12		26, 28	Exod 19	Matt 19:16—20:16	31	Prov 11	Col 1:21—2:7
03-13		29, 30	Exod 20	Matt 20:17-end	33	Prov 12	Col 2:8-19
03-14		34	Exod 21 † 1-19,22-29	Matt 21:1-22	35	Prov 13	Col 2:20—3:11
03-15		32, 36	Exod 22	Matt 21:23-end	38	Prov 14	Col 3:12-end
03-16		37:1-18	Exod 23 † 1-13,18-30	Matt 22:1-33	37:19-42	Prov 15	Col 4
03-17		40	Exod 24	Matt 22:34—23:12	39, 41	Prov 16	Philemon
03-18		42, 43	Exod 25 † 1-23,31-40	Matt 23:13-end	44	Prov 17	Eph 1:1-14
03-19	Joseph ‡ (Earliest possible date for Maundy Thursday)	45	Exod 26 † 1-10,15-16,29-37	Matt 24:1-28	46	Eph 1:15-end	Matt 1:18-26
03-20		47, 48	Exod 27	Matt 24:29-end	49	Prov 18	Eph 2:1-10
03-21		50	Exod 28 † 1-6,15-21, 29-43	Matt 25:1-30	51	Prov 19	Eph 2:11-end
03-22		52, 53, 54	Exod 29 † 1-18,35-46	Matt 25:31-end	55	Prov 20	Eph 3
03-23		56, 57	Exod 30 † 1-3,7-33	Matt 26:1-30	58, 60	Prov 21	Eph 4:1-16
03-24		59	Exod 31	Matt 26:31-56	63, 64	Prov 22	Eph 4:17-end
03-25	Annunciation	113, 138	Exod 32 † 1-29	Luke 1:26-38	131, 132	Prov 23	Eph 5:1-17
03-26		61, 62	Exod 33	Matt 26:57-end	65, 67	Prov 24 † 1-14, 23-34	Eph 5:18-end
03-27		68:1-18	Exod 34 † 1-17,27-35	Matt 27:1-26	68:19-36	Prov 25	Eph 6:1-9
03-28		69:1-18	Exod 35 † 1-10,20-35	Matt 27:27-56	69:19-38	Prov 26	Eph 6:10-end
03-29		66	Exod 36 † 1-10,18-20, 31-38	Matt 27:57—28 end	70, 72	Prov 27	1 Tim 1:1-17
03-30		71	Exod 37 † 1-11,16-29	Mark 1:1-13	73	Prov 28	1 Tim 1:18—2 end
03-31		74	Exod 38 † 1-23	Mark 1:14-31	77	Prov 29	1 Tim 3
04-01		75, 76	Exod 39 † 1-14,27-43	Mark 1:32-end	79, 82	Prov 30 † 1-9,15-33	1 Tim 4
04-02		78:1-18	Exod 40 † 1,16-38	Mark 2:1-22	78:19-40	Prov 31	1 Tim 5
04-03		78:41-73	Lev 1	Mark 2:23—3:12	80	Job 1	1 Tim 6
04-04		81	Lev 8 † 1-24,30-36	Mark 3:13-end	83	Job 2	Titus 1
04-05		84	Lev 10	Mark 4:1-34	85	Job 3	Titus 2
04-06		86, 87	Lev 16 † 1-22,29-34	Mark 4:35—5:20	88	Job 4	Titus 3
04-07		89:1-18	Lev 17	Mark 5:21-end	89:19-52	Job 5	2 Tim 1
04-08		90	Lev 18	Mark 6:1-29	91	Job 6	2 Tim 2
04-09		92, 93	Lev 19 † 1-2,9-37	Mark 6:30-end	94	Job 7	2 Tim 3
04-10		95, 96	Lev 20	Mark 7:1-23	97, 98	Job 8	2 Tim 4
